Country,Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2
Finland,2045,24.990539857978888,3.590023742681573,18.29912233215725,0.1729584770435349,2.928435306096528,240675319497.73447,6093128.255445908,247.00066694953736,1.033639992258111,88.93002813370067,46.45359371375217,392283293.6500206,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2046,24.82135064300228,3.395444455828232,18.172858388065364,0.154763245258555,3.0982845538501267,241902763627.1729,6115672.8299910575,244.45656007995717,1.0180320283750135,89.06342317590124,45.68246405810389,776171724.8159308,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2047,24.675344241340845,3.211411366322342,18.047465665187712,0.138482151857355,3.277985057973434,243136467721.67157,6138300.819462025,241.9386575111336,1.0026597447465508,89.19701831066509,44.92413515473937,1535733374.7208009,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2048,24.55231304318344,3.03735287026767,17.922938152097917,0.1239138294819613,3.4681081913358938,244376463707.0521,6161012.532494035,239.4466893387689,0.987519582600878,89.33081383813109,44.17839451117069,3038602055.2225766,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2049,24.45213478460144,2.872728344699163,17.799269878848442,0.1108780946204589,3.669258466433376,245622783671.9581,6183808.278864263,236.9803884385796,0.9726080369036046,89.46481005888829,43.44503316228526,6012178026.46339,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2050,24.374770561653754,2.7170264684164684,17.67645491668439,0.0992137190663867,3.882075457486512,246875459868.68512,6206688.369496061,234.53949043766224,0.9579216555463602,89.59900727397662,42.72384561179133,11895695443.160463,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Germany,2018,762.8647781999999,302.4357024,274.292778,172.492317,13.6439808,3775704668097.7407,83076984.87386666,3851.010880933333,1.0202941,77.243779,85.46241402533289,2.1942419965885955,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2019,752.42661302436,292.51581136128,273.0858897768,172.94079702419998,13.88411486208,3837248654187.734,83508985.19521077,3865.2596211927857,1.0077444825700002,77.2592277558,85.52223771515062,2.35310511714161,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2020,742.3245229905275,282.9212927486299,271.88431186178207,173.3904430964629,14.128475283652609,3899795807250.9937,83943231.91822587,3879.5610817911993,0.9953492254343892,77.27467960135115,85.58210328155123,2.523469927622662,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2021,732.5478899332237,273.64147434647487,270.68802088959023,173.84125824851367,14.377136448644896,3963362478909.1846,84379736.72420065,3893.915457793827,0.9831064299615462,77.29013453727143,85.64201075384831,2.706169150382544,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2022,723.0864471556873,264.66603398791045,269.49699359767607,174.29324551995978,14.630174050141049,4027965287315.404,84818511.35516651,3908.322944987664,0.9710142208730193,77.30559256417888,85.701960161376,2.90209579687024,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2023,713.9302679706884,255.984988073107,268.3112068258463,174.74640795831166,14.88766511342353,4093621121498.6455,85259567.61421338,3922.783739884119,0.9590707459562812,77.32105368269171,85.76195153348895,3.112207532563645,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2024,705.0697546185448,247.58868046430908,267.13063751581257,175.20074861900326,15.149688019419786,4160347145779.073,85702917.3658073,3937.29803972169,0.9472741757810188,77.33651789342825,85.8219848995624,3.337531357921253,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2025,696.495627549797,239.4677717450797,265.955262710743,175.65627056541263,15.416322528561576,4228160804255.272,86148572.5361095,3951.866042468661,0.9356227034189124,77.35198519700694,85.88206028899208,3.5791686282347515,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2026,688.1989150606038,231.6132288318411,264.78505955481575,176.11297686888273,15.68764980506426,4297079825364.633,86596545.11329728,3966.4879468257946,0.9241145441668596,77.36745559404633,85.94217773119436,3.838300436918948,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2027,680.1709432693063,224.0163149261567,263.6200052927746,176.5708706087418,15.963752441633392,4367122226518.076,87046847.14788644,3981.16395222905,0.9127479352736072,77.38292908516515,86.0023372556062,4.11619338855188,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2028,672.4033264229957,216.66857979657877,262.4600772694864,177.02995487232454,16.244714484606142,4438306318810.32,87499490.75305545,3995.8942588522978,0.901521135669742,77.39840567098217,86.06253889168511,4.414205789883035,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2029,664.8879575232793,209.56185037925096,261.3052529295006,177.49023275499258,16.53062145953521,4510650711806.929,87954488.10497135,4010.6790676100513,0.8904324257010042,77.41388535211637,86.12278266890928,4.733794289070567,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2030,657.616999260801,202.68822168681152,260.15550981661085,177.95170736015555,16.82156039722303,4584174318409.382,88411851.4431172,4025.518580160209,0.8794801068648819,77.42936812918678,86.1830686167775,5.076520995599276,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2031,650.582875248408,196.04004801548407,259.0108255734178,178.41438179929196,17.11761986021416,4658896359799.455,88871593.07062142,4040.412998906802,0.8686625015504439,77.44485400281262,86.24339676480925,5.444061115680664,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2032,643.778261543195,189.60993444057615,257.8711779408948,178.8782591919701,17.41888996975393,4734836370464.187,89333725.35458866,4055.362527002757,0.8579779527813735,77.46034297361318,86.3037671425446,5.838211140455944,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2033,637.196078447971,183.39072859092528,256.73654475795485,179.34334266586922,17.7254624332216,4812014203302.753,89798260.72643253,4070.367368352668,0.8474248239621626,77.4758350422079,86.36417977954437,6.260897627024955,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2034,630.8294825830096,177.37551269314292,255.60690396101987,179.80963535680047,18.0374305720463,4890450034816.588,90265211.68220998,4085.4277276155726,0.837001498627428,77.49133020921634,86.42463470539005,6.7141866152215615,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2035,624.6718592192417,171.55759587680782,254.48223358359135,180.27714040872812,18.35488935011432,4970164370384.099,90734590.78295748,4100.543810207751,0.8267063801943106,77.50682847525819,86.48513194968382,7.200293726163602,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
Germany,2036,618.7168148643393,165.9305067320485,253.3625117558236,180.74586097379083,18.67793540267633,5051178049621.359,91206410.65502886,4115.715822305519,0.8165378917179207,77.52232984095323,86.5456715420486,7.721594991937847,3637265039360.0,3566759400789.333,1.0386666666666666,1.062
